ko:K19405	ctrn:L3404_00711
ko:K01921	ctrn:L3404_00810
ko:K01924	ctrn:L3404_00810
ko:K14233	ctrn:L3404_00889
ko:K11645	ctrn:L3404_00218
ko:K02990	ctrn:L3404_00849
ko:K02963	ctrn:L3404_00850
ko:K02939	ctrn:L3404_00851
ko:K00919	ctrn:L3404_00852
ko:K00630	ctrn:L3404_00856
ko:K08301	ctrn:L3404_00857
ko:K02911	ctrn:L3404_00860
ko:K03621	ctrn:L3404_00861
ko:K03431	ctrn:L3404_00866
ko:K00820	ctrn:L3404_00867
ko:K03834	ctrn:L3404_00868
ko:K03834	ctrn:L3404_00870
ko:K06890	ctrn:L3404_00871
ko:K03110	ctrn:L3404_00872
ko:K01903	ctrn:L3404_00873
ko:K01902	ctrn:L3404_00874
ko:K09760	ctrn:L3404_00877
ko:K00075	ctrn:L3404_00883
ko:K02520	ctrn:L3404_00885
ko:K02916	ctrn:L3404_00886
ko:K02887	ctrn:L3404_00887
ko:K01889	ctrn:L3404_00888
ko:K11720	ctrn:L3404_00891
ko:K07091	ctrn:L3404_00892
ko:K04075	ctrn:L3404_00893
ko:K03798	ctrn:L3404_00894
ko:K00962	ctrn:L3404_00895
ko:K02956	ctrn:L3404_00896
ko:K03584	ctrn:L3404_00492
ko:K08998	ctrn:L3404_00496
ko:K01890	ctrn:L3404_00498
ko:K02034	ctrn:L3404_00501
ko:K01772	ctrn:L3404_00510
ko:K09779	ctrn:L3404_00002
ko:K02435	ctrn:L3404_00003
ko:K02434	ctrn:L3404_00005
ko:K02517	ctrn:L3404_00011
ko:K00425	ctrn:L3404_00014
ko:K00426	ctrn:L3404_00015
ko:K07175	ctrn:L3404_00016
ko:K01870	ctrn:L3404_00021
ko:K03100	ctrn:L3404_00022
ko:K02909	ctrn:L3404_00024
ko:K02835	ctrn:L3404_00025
ko:K02493	ctrn:L3404_00026
ko:K03106	ctrn:L3404_00027
ko:K02959	ctrn:L3404_00028
ko:K00554	ctrn:L3404_00029
ko:K07099	ctrn:L3404_00513
ko:K00975	ctrn:L3404_00514
ko:K03628	ctrn:L3404_00516
ko:K00859	ctrn:L3404_00517
ko:K03301	ctrn:L3404_00520
ko:K00995	ctrn:L3404_00521
ko:K03495	ctrn:L3404_00524
ko:K03800	ctrn:L3404_00525
ko:K00940	ctrn:L3404_00526
ko:K03550	ctrn:L3404_00527
ko:K01159	ctrn:L3404_00528
ko:K00134	ctrn:L3404_00532
ko:K02879	ctrn:L3404_00533
ko:K03040	ctrn:L3404_00534
ko:K02948	ctrn:L3404_00535
ko:K02952	ctrn:L3404_00536
ko:K03076	ctrn:L3404_00537
ko:K02876	ctrn:L3404_00538
ko:K02988	ctrn:L3404_00539
ko:K02881	ctrn:L3404_00540
ko:K02933	ctrn:L3404_00541
ko:K02994	ctrn:L3404_00542
ko:K02931	ctrn:L3404_00543
ko:K02895	ctrn:L3404_00544
ko:K02884	ctrn:L3404_00030
ko:K03470	ctrn:L3404_00031
ko:K00942	ctrn:L3404_00032
ko:K01874	ctrn:L3404_00034
ko:K03581	ctrn:L3404_00035
ko:K01494	ctrn:L3404_00041
