ko:K04518	smh:DMIN_01960
ko:K13043	smh:DMIN_01100
ko:K04516	smh:DMIN_01950
ko:K02114	smh:DMIN_00160
ko:K07277	smh:DMIN_01600
ko:K02911	smh:DMIN_02060
ko:K14219	smh:DMIN_01660
ko:K14233	smh:DMIN_01620
ko:K14218	smh:DMIN_00740
ko:K03438	smh:DMIN_02440
ko:K03572	smh:DMIN_02460
ko:K01755	smh:DMIN_02470
ko:K00161	smh:DMIN_02490
ko:K00627	smh:DMIN_02500
ko:K00134	smh:DMIN_02520
ko:K03218	smh:DMIN_02540
ko:K01889	smh:DMIN_02550
ko:K01754	smh:DMIN_02560
ko:K00053	smh:DMIN_02570
ko:K01652	smh:DMIN_02590
ko:K01687	smh:DMIN_02600
ko:K09014	smh:DMIN_01900
ko:K09013	smh:DMIN_01910
ko:K09015	smh:DMIN_01920
ko:K11717	smh:DMIN_01930
ko:K02519	smh:DMIN_01940
ko:K00133	smh:DMIN_01970
ko:K02968	smh:DMIN_01980
ko:K00800	smh:DMIN_02000
ko:K02959	smh:DMIN_02010
ko:K02470	smh:DMIN_02030
ko:K03501	smh:DMIN_02040
ko:K00812	smh:DMIN_02050
ko:K00162	smh:DMIN_02070
ko:K03086	smh:DMIN_02090
ko:K00962	smh:DMIN_02100
ko:K02956	smh:DMIN_02110
ko:K03183	smh:DMIN_02120
ko:K02909	smh:DMIN_02130
ko:K02950	smh:DMIN_02140
ko:K02992	smh:DMIN_02150
ko:K02355	smh:DMIN_02160
ko:K02946	smh:DMIN_02170
ko:K02906	smh:DMIN_02180
ko:K02926	smh:DMIN_02190
ko:K02886	smh:DMIN_02210
ko:K02965	smh:DMIN_02220
ko:K02890	smh:DMIN_02230
ko:K02982	smh:DMIN_02240
ko:K02878	smh:DMIN_02250
ko:K02961	smh:DMIN_02260
ko:K02874	smh:DMIN_02270
ko:K02931	smh:DMIN_02280
ko:K02954	smh:DMIN_02290
ko:K02994	smh:DMIN_02300
ko:K02933	smh:DMIN_02310
ko:K02881	smh:DMIN_02320
ko:K02988	smh:DMIN_02330
ko:K02876	smh:DMIN_02340
ko:K03076	smh:DMIN_02350
ko:K02518	smh:DMIN_02360
ko:K02919	smh:DMIN_02370
ko:K02952	smh:DMIN_02380
ko:K02948	smh:DMIN_02390
ko:K02986	smh:DMIN_02400
ko:K03040	smh:DMIN_02410
ko:K02879	smh:DMIN_02420
ko:K01778	smh:DMIN_02430
ko:K12524	smh:DMIN_01370
ko:K00029	smh:DMIN_01410
ko:K00406	smh:DMIN_01430
ko:K03977	smh:DMIN_01470
ko:K03644	smh:DMIN_01480
ko:K02914	smh:DMIN_01490
ko:K01902	smh:DMIN_01500
ko:K00174	smh:DMIN_01550
ko:K01867	smh:DMIN_01570
ko:K01893	smh:DMIN_01610
ko:K02888	smh:DMIN_01640
ko:K02899	smh:DMIN_01650
ko:K02990	smh:DMIN_01670
ko:K02963	smh:DMIN_01680
ko:K01714	smh:DMIN_01710
ko:K02836	smh:DMIN_01720
ko:K00215	smh:DMIN_01730
ko:K03100	smh:DMIN_01740
ko:K00014	smh:DMIN_01750
ko:K03979	smh:DMIN_01760
ko:K00382	smh:DMIN_01770
ko:K00164	smh:DMIN_01810
ko:K00658	smh:DMIN_01820
ko:K03118	smh:DMIN_01830
ko:K03664	smh:DMIN_01840
ko:K04077	smh:DMIN_01870
ko:K02996	smh:DMIN_00850
ko:K02871	smh:DMIN_00860
ko:K04043	smh:DMIN_00870
ko:K04078	smh:DMIN_01880
ko:K06168	smh:DMIN_01890
ko:K02520	smh:DMIN_00880
ko:K02916	smh:DMIN_00890
ko:K02887	smh:DMIN_00900
ko:K01462	smh:DMIN_00910
ko:K07447	smh:DMIN_00920
ko:K00826	smh:DMIN_00940
ko:K00566	smh:DMIN_00960
ko:K03686	smh:DMIN_00970
ko:K03687	smh:DMIN_00980
ko:K00382	smh:DMIN_00990
ko:K02834	smh:DMIN_01010
ko:K03650	smh:DMIN_01020
ko:K02337	smh:DMIN_01040
ko:K01940	smh:DMIN_01050
ko:K00145	smh:DMIN_01060
ko:K01956	smh:DMIN_01080
ko:K01955	smh:DMIN_01090
ko:K00930	smh:DMIN_01110
ko:K01438	smh:DMIN_01120
ko:K00891	smh:DMIN_01150
ko:K04075	smh:DMIN_01160
ko:K01695	smh:DMIN_01170
ko:K01609	smh:DMIN_01190
ko:K00766	smh:DMIN_01200
ko:K01657	smh:DMIN_01220
ko:K04487	smh:DMIN_01230
ko:K01881	smh:DMIN_01240
ko:K01338	smh:DMIN_01250
ko:K01586	smh:DMIN_01260
ko:K01736	smh:DMIN_01280
ko:K04079	smh:DMIN_01290
ko:K03070	smh:DMIN_01310
ko:K02884	smh:DMIN_01320
ko:K02548	smh:DMIN_01340
ko:K01733	smh:DMIN_01350
ko:K00872	smh:DMIN_01360
ko:K02115	smh:DMIN_00300
ko:K02111	smh:DMIN_00310
ko:K02109	smh:DMIN_00330
ko:K02110	smh:DMIN_00340
ko:K02108	smh:DMIN_00350
ko:K00928	smh:DMIN_00360
ko:K00052	smh:DMIN_00380
ko:K01704	smh:DMIN_00390
ko:K01703	smh:DMIN_00400
ko:K01649	smh:DMIN_00410
ko:K01866	smh:DMIN_00420
ko:K01869	smh:DMIN_00430
ko:K00175	smh:DMIN_00450
ko:K01875	smh:DMIN_00460
ko:K02902	smh:DMIN_00470
ko:K02913	smh:DMIN_00480
ko:K06180	smh:DMIN_00510
ko:K06173	smh:DMIN_00520
ko:K03046	smh:DMIN_00530
ko:K03043	smh:DMIN_00540
ko:K02863	smh:DMIN_00560
ko:K02867	smh:DMIN_00570
ko:K02358	smh:DMIN_00590
ko:K02426	smh:DMIN_00700
ko:K02523	smh:DMIN_00710
ko:K01903	smh:DMIN_00770
ko:K03116	smh:DMIN_00780
ko:K01358	smh:DMIN_00790
ko:K03544	smh:DMIN_00800
ko:K03555	smh:DMIN_00810
ko:K02967	smh:DMIN_00840
ko:K03801	smh:DMIN_00010
ko:K01873	smh:DMIN_00020
ko:K03798	smh:DMIN_00030
ko:K02338	smh:DMIN_00040
ko:K01890	smh:DMIN_00050
ko:K01735	smh:DMIN_00060
ko:K02469	smh:DMIN_00070
ko:K02945	smh:DMIN_00080
ko:K03885	smh:DMIN_00090
ko:K03628	smh:DMIN_00100
ko:K02835	smh:DMIN_00110
ko:K03786	smh:DMIN_00130
ko:K09458	smh:DMIN_00140
ko:K02078	smh:DMIN_00150
ko:K02112	smh:DMIN_00170
ko:K02528	smh:DMIN_00180
ko:K03101	smh:DMIN_00200
ko:K01886	smh:DMIN_00220
ko:K03495	smh:DMIN_00230
ko:K07056	smh:DMIN_00250
ko:K00948	smh:DMIN_00270
ko:K02897	smh:DMIN_00280
ko:K14226	smh:DMIN_00500
ko:K14233	smh:DMIN_01270
ko:K14219	smh:DMIN_01380
ko:K14228	smh:DMIN_00830
ko:K14232	smh:DMIN_01390
ko:K14219	smh:DMIN_02480
ko:K00185	smh:DMIN_00660
ko:K14231	smh:DMIN_00440
ko:K14223	smh:DMIN_02020
ko:K14220	smh:DMIN_00210
ko:K14237	smh:DMIN_01030
ko:K14234	smh:DMIN_00600
ko:K01985	smh:DMIN_00760
ko:K14229	smh:DMIN_01140
ko:K14228	smh:DMIN_01780
ko:K01653	smh:DMIN_02580
ko:K14221	smh:DMIN_01130
ko:K14224	smh:DMIN_01990
ko:K14228	smh:DMIN_01520
ko:K14230	smh:DMIN_00190
ko:K01977	smh:DMIN_00720
ko:K01980	smh:DMIN_00750
ko:K14234	smh:DMIN_00630
ko:K14230	smh:DMIN_01630
ko:K14227	smh:DMIN_00730
ko:K14222	smh:DMIN_00260
ko:K14236	smh:DMIN_00620
ko:K14228	smh:DMIN_01530
ko:K14230	smh:DMIN_01800
ko:K14225	smh:DMIN_00610
ko:K14235	smh:DMIN_00580
ko:K14233	smh:DMIN_01400
ko:K14225	smh:DMIN_00820
ko:K15862	smh:DMIN_01440
ko:K07052	smh:DMIN_01510
ko:K03593	smh:DMIN_01560
ko:K00294	smh:DMIN_02450
ko:K00674	smh:DMIN_00930
ko:K05595	smh:DMIN_00370
ko:K01696	smh:DMIN_01180
ko:K01817	smh:DMIN_01180
ko:K00184	smh:DMIN_00650
ko:K15035	smh:DMIN_167
ko:K17686	smh:DMIN_01460
ko:K01658	smh:DMIN_01210
ko:K02935	smh:DMIN_00550
ko:K18707	smh:DMIN_01300
ko:K00821	smh:DMIN_01070
