ko:K22317	sbs:Sbal117_1657
ko:K02028	sbs:Sbal117_3533
ko:K00632	sbs:Sbal117_2900
ko:K18928	sbs:Sbal117_1459
ko:K18138	sbs:Sbal117_0130
ko:K19591	sbs:Sbal117_1614
ko:K21029	sbs:Sbal117_4392
ko:K11741	sbs:Sbal117_2965
ko:K01436	sbs:Sbal117_0307
ko:K21429	sbs:Sbal117_0521
ko:K03111	sbs:Sbal117_3907
ko:K10716	sbs:Sbal117_2664
ko:K03553	sbs:Sbal117_3258
ko:K14060	sbs:Sbal117_4775
ko:K14060	sbs:Sbal117_4712
ko:K14060	sbs:Sbal117_2287
ko:K02358	sbs:Sbal117_4340
ko:K02014	sbs:Sbal117_1518
ko:K14229	sbs:Sbal117_R0032
ko:K14229	sbs:Sbal117_R0035
ko:K15035	sbs:Sbal117_R0025
ko:K14229	sbs:Sbal117_R0030
ko:K14229	sbs:Sbal117_R0036
ko:K14229	sbs:Sbal117_R0031
ko:K14229	sbs:Sbal117_R0038
ko:K14229	sbs:Sbal117_R0037
ko:K14229	sbs:Sbal117_R0033
ko:K14229	sbs:Sbal117_R0034
ko:K16089	sbs:Sbal117_0318
ko:K14221	sbs:Sbal117_R0007
ko:K14221	sbs:Sbal117_R0040
ko:K14221	sbs:Sbal117_R0102
ko:K14221	sbs:Sbal117_R0127
ko:K16090	sbs:Sbal117_3785
ko:K16091	sbs:Sbal117_1022
ko:K16089	sbs:Sbal117_2559
ko:K16088	sbs:Sbal117_2223
ko:K16088	sbs:Sbal117_2844
ko:K15726	sbs:Sbal117_0580
ko:K16137	sbs:Sbal117_0374
ko:K15726	sbs:Sbal117_0098
ko:K02014	sbs:Sbal117_3961
ko:K00130	sbs:Sbal117_1428
ko:K14234	sbs:Sbal117_R0081
ko:K14234	sbs:Sbal117_R0083
ko:K14234	sbs:Sbal117_R0121
ko:K02014	sbs:Sbal117_0401
ko:K00526	sbs:Sbal117_2148
ko:K00986	sbs:Sbal117_2447
ko:K16087	sbs:Sbal117_1051
ko:K16087	sbs:Sbal117_1505
ko:K07787	sbs:Sbal117_0261
ko:K07798	sbs:Sbal117_0262
ko:K08993	sbs:Sbal117_0268
ko:K03110	sbs:Sbal117_0270
ko:K09812	sbs:Sbal117_0271
ko:K09811	sbs:Sbal117_0272
ko:K03089	sbs:Sbal117_0273
ko:K01911	sbs:Sbal117_0274
ko:K02551	sbs:Sbal117_0277
ko:K04013	sbs:Sbal117_0280
ko:K04014	sbs:Sbal117_0281
ko:K03832	sbs:Sbal117_0286
ko:K07552	sbs:Sbal117_0296
ko:K03216	sbs:Sbal117_0312
ko:K03648	sbs:Sbal117_1064
ko:K02523	sbs:Sbal117_1065
ko:K02888	sbs:Sbal117_1066
ko:K02899	sbs:Sbal117_1067
ko:K03979	sbs:Sbal117_1068
ko:K06195	sbs:Sbal117_1075
ko:K02528	sbs:Sbal117_1076
ko:K00097	sbs:Sbal117_1077
ko:K03771	sbs:Sbal117_1078
