ko:K01006	paz:TIA2EST2_09955
ko:K00886	paz:TIA2EST2_10290
ko:K16264	paz:TIA2EST2_06020
ko:K01990	paz:TIA2EST2_01955
ko:K01990	paz:TIA2EST2_07720
ko:K01990	paz:TIA2EST2_10705
ko:K15582	paz:TIA2EST2_10450
ko:K10823	paz:TIA2EST2_10460
ko:K18930	paz:TIA2EST2_03840
ko:K18930	paz:TIA2EST2_03845
ko:K16013	paz:TIA2EST2_00860
ko:K16012	paz:TIA2EST2_00855
ko:K00040	paz:TIA2EST2_11335
ko:K00951	paz:TIA2EST2_05705
ko:K00265	paz:TIA2EST2_05545
ko:K12510	paz:TIA2EST2_01120
ko:K01897	paz:TIA2EST2_07935
ko:K02033	paz:TIA2EST2_07215
ko:K16926	paz:TIA2EST2_10075
ko:K00368	paz:TIA2EST2_00450
ko:K00991	paz:TIA2EST2_01695
ko:K01770	paz:TIA2EST2_01700
ko:K02781	paz:TIA2EST2_01705
ko:K02774	paz:TIA2EST2_01710
ko:K03335	paz:TIA2EST2_02250
ko:K03704	paz:TIA2EST2_02295
ko:K06901	paz:TIA2EST2_02310
ko:K00831	paz:TIA2EST2_02325
ko:K01443	paz:TIA2EST2_02330
ko:K00963	paz:TIA2EST2_02355
ko:K03282	paz:TIA2EST2_02365
ko:K03750	paz:TIA2EST2_02385
ko:K03790	paz:TIA2EST2_02390
ko:K03637	paz:TIA2EST2_02405
ko:K03750	paz:TIA2EST2_02410
ko:K03639	paz:TIA2EST2_02425
ko:K02020	paz:TIA2EST2_02435
ko:K00373	paz:TIA2EST2_02455
ko:K00371	paz:TIA2EST2_02460
ko:K00370	paz:TIA2EST2_02465
ko:K03583	paz:TIA2EST2_06450
ko:K03582	paz:TIA2EST2_06455
ko:K03581	paz:TIA2EST2_06460
ko:K07306	paz:TIA2EST2_02500
ko:K03149	paz:TIA2EST2_02510
ko:K03154	paz:TIA2EST2_02515
ko:K07056	paz:TIA2EST2_02540
ko:K03424	paz:TIA2EST2_02545
ko:K02528	paz:TIA2EST2_02550
ko:K00919	paz:TIA2EST2_02555
ko:K04042	paz:TIA2EST2_02570
ko:K00948	paz:TIA2EST2_02575
ko:K02897	paz:TIA2EST2_02595
ko:K01056	paz:TIA2EST2_02600
ko:K03723	paz:TIA2EST2_02630
ko:K01689	paz:TIA2EST2_02650
ko:K01524	paz:TIA2EST2_02665
ko:K03308	paz:TIA2EST2_02715
ko:K03648	paz:TIA2EST2_02720
ko:K03624	paz:TIA2EST2_02735
ko:K06888	paz:TIA2EST2_02750
ko:K11068	paz:TIA2EST2_02760
ko:K07175	paz:TIA2EST2_02765
ko:K03602	paz:TIA2EST2_02775
ko:K03601	paz:TIA2EST2_02780
ko:K03527	paz:TIA2EST2_02790
ko:K09760	paz:TIA2EST2_02795
ko:K06942	paz:TIA2EST2_02805
ko:K03758	paz:TIA2EST2_02840
ko:K00611	paz:TIA2EST2_02850
ko:K00926	paz:TIA2EST2_02855
ko:K11065	paz:TIA2EST2_02880
ko:K00012	paz:TIA2EST2_02895
ko:K14645	paz:TIA2EST2_02935
ko:K02029	paz:TIA2EST2_02950
ko:K01818	paz:TIA2EST2_02990
ko:K01818	paz:TIA2EST2_02995
ko:K02003	paz:TIA2EST2_03010
ko:K13821	paz:TIA2EST2_03055
ko:K07101	paz:TIA2EST2_03070
ko:K03823	paz:TIA2EST2_03075
ko:K00324	paz:TIA2EST2_03080
ko:K00325	paz:TIA2EST2_03085
ko:K00613	paz:TIA2EST2_03110
ko:K03762	paz:TIA2EST2_03120
ko:K00975	paz:TIA2EST2_03150
ko:K01714	paz:TIA2EST2_03160
ko:K03117	paz:TIA2EST2_03165
ko:K02259	paz:TIA2EST2_03195
ko:K07164	paz:TIA2EST2_03210
ko:K02016	paz:TIA2EST2_03225
ko:K00982	paz:TIA2EST2_03285
ko:K01915	paz:TIA2EST2_03310
ko:K03710	paz:TIA2EST2_03335
ko:K08996	paz:TIA2EST2_03355
ko:K03290	paz:TIA2EST2_03390
ko:K03644	paz:TIA2EST2_03405
ko:K03801	paz:TIA2EST2_03420
ko:K00658	paz:TIA2EST2_03425
ko:K01255	paz:TIA2EST2_03430
ko:K03969	paz:TIA2EST2_03450
ko:K02275	paz:TIA2EST2_03465
ko:K02003	paz:TIA2EST2_03485
ko:K00655	paz:TIA2EST2_03590
ko:K01626	paz:TIA2EST2_03600
ko:K00297	paz:TIA2EST2_03635
ko:K13993	paz:TIA2EST2_03655
ko:K00281	paz:TIA2EST2_03675
ko:K02437	paz:TIA2EST2_03680
ko:K00605	paz:TIA2EST2_03685
ko:K03924	paz:TIA2EST2_03705
ko:K03925	paz:TIA2EST2_03710
ko:K03438	paz:TIA2EST2_03715
ko:K03587	paz:TIA2EST2_03725
ko:K01928	paz:TIA2EST2_03730
ko:K01929	paz:TIA2EST2_03735
ko:K01000	paz:TIA2EST2_03740
ko:K06199	paz:TIA2EST2_03820
ko:K00859	paz:TIA2EST2_03890
ko:K02230	paz:TIA2EST2_03915
ko:K02013	paz:TIA2EST2_03920
ko:K02015	paz:TIA2EST2_03925
ko:K02016	paz:TIA2EST2_03930
ko:K03702	paz:TIA2EST2_03965
ko:K02888	paz:TIA2EST2_04080
ko:K02899	paz:TIA2EST2_04085
ko:K03979	paz:TIA2EST2_04105
ko:K00931	paz:TIA2EST2_04110
ko:K00147	paz:TIA2EST2_04115
ko:K00969	paz:TIA2EST2_04125
ko:K09710	paz:TIA2EST2_04130
ko:K02003	paz:TIA2EST2_04220
ko:K02313	paz:TIA2EST2_00005
ko:K02338	paz:TIA2EST2_00010
ko:K01869	paz:TIA2EST2_04365
ko:K02237	paz:TIA2EST2_04370
ko:K02340	paz:TIA2EST2_04385
ko:K02968	paz:TIA2EST2_04390
ko:K03596	paz:TIA2EST2_04400
ko:K02551	paz:TIA2EST2_04410
ko:K01911	paz:TIA2EST2_04425
ko:K01661	paz:TIA2EST2_04430
ko:K01895	paz:TIA2EST2_04450
ko:K03705	paz:TIA2EST2_04475
ko:K03686	paz:TIA2EST2_04480
ko:K09761	paz:TIA2EST2_04485
ko:K00817	paz:TIA2EST2_00160
ko:K02945	paz:TIA2EST2_03855
ko:K02016	paz:TIA2EST2_03865
ko:K02015	paz:TIA2EST2_03870
ko:K02013	paz:TIA2EST2_03875
ko:K01938	paz:TIA2EST2_00225
ko:K02003	paz:TIA2EST2_00250
ko:K01880	paz:TIA2EST2_04635
ko:K00239	paz:TIA2EST2_04650
ko:K00240	paz:TIA2EST2_04655
ko:K01129	paz:TIA2EST2_04670
ko:K02069	paz:TIA2EST2_04675
ko:K00697	paz:TIA2EST2_04700
ko:K01087	paz:TIA2EST2_04705
ko:K01738	paz:TIA2EST2_04710
ko:K00375	paz:TIA2EST2_04715
ko:K06215	paz:TIA2EST2_04720
ko:K08681	paz:TIA2EST2_04725
ko:K00833	paz:TIA2EST2_04730
ko:K01935	paz:TIA2EST2_04735
ko:K01744	paz:TIA2EST2_00460
ko:K07791	paz:TIA2EST2_00465
ko:K06975	paz:TIA2EST2_00470
ko:K03781	paz:TIA2EST2_00475
ko:K02230	paz:TIA2EST2_00500
ko:K06871	paz:TIA2EST2_00505
ko:K02013	paz:TIA2EST2_00510
ko:K02015	paz:TIA2EST2_00515
ko:K02016	paz:TIA2EST2_00520
ko:K02016	paz:TIA2EST2_00525
ko:K00941	paz:TIA2EST2_00540
ko:K00788	paz:TIA2EST2_00550
ko:K01546	paz:TIA2EST2_00570
ko:K01547	paz:TIA2EST2_00575
ko:K01591	paz:TIA2EST2_04895
ko:K00762	paz:TIA2EST2_04900
ko:K00995	paz:TIA2EST2_04915
