ko:K01212	bya:BANAU_3943
ko:K08153	bya:BANAU_0978
ko:K16697	bya:BANAU_3463
ko:K19310	bya:BANAU_0738
ko:K02030	bya:BANAU_2380
ko:K21900	bya:BANAU_3665
ko:K16961	bya:BANAU_0329
ko:K02851	bya:BANAU_3457
ko:K22044	bya:BANAU_1334
ko:K06979	bya:BANAU_0229
ko:K19302	bya:BANAU_0739
ko:K02205	bya:BANAU_3678
ko:K19689	bya:BANAU_1355
ko:K13614	bya:BANAU_1677
ko:K03297	bya:BANAU_0402
ko:K05592	bya:BANAU_3805
ko:K11051	bya:BANAU_0633
ko:K11741	bya:BANAU_0540
ko:K18924	bya:BANAU_0541
ko:K19417	bya:BANAU_3342
ko:K18939	bya:BANAU_0241
ko:K18939	bya:BANAU_3405
ko:K18926	bya:BANAU_0240
ko:K01732	bya:BANAU_3815
ko:K19427	bya:BANAU_3332
ko:K07260	bya:BANAU_2065
ko:K15661	bya:BANAU_1943
ko:K15662	bya:BANAU_1942
ko:K15663	bya:BANAU_1941
ko:K06292	bya:BANAU_3482
ko:K06289	bya:BANAU_3208
ko:K15664	bya:BANAU_1972
ko:K15667	bya:BANAU_1968
ko:K15668	bya:BANAU_1967
ko:K15654	bya:BANAU_0307
ko:K14234	bya:BANAU_t084
ko:K14234	bya:BANAU_t009
ko:K14234	bya:BANAU_t050
ko:K14234	bya:BANAU_t029
ko:K06296	bya:BANAU_0326
ko:K00691	bya:BANAU_3363
ko:K01728	bya:BANAU_0687
ko:K15656	bya:BANAU_0308
ko:K11815	bya:BANAU_1688
ko:K11814	bya:BANAU_1689
ko:K10040	bya:BANAU_2664
ko:K03296	bya:BANAU_0627
ko:K16301	bya:BANAU_3732
ko:K14223	bya:BANAU_t062
ko:K14223	bya:BANAU_t054
ko:K14223	bya:BANAU_t031
ko:K14223	bya:BANAU_t035
ko:K14219	bya:BANAU_t087
ko:K14220	bya:BANAU_t043
ko:K14220	bya:BANAU_t017
ko:K14220	bya:BANAU_t022
ko:K14220	bya:BANAU_t032
ko:K14220	bya:BANAU_t067
ko:K14236	bya:BANAU_t030
ko:K14236	bya:BANAU_t051
ko:K14233	bya:BANAU_t033
ko:K14233	bya:BANAU_t066
ko:K14228	bya:BANAU_t038
ko:K14225	bya:BANAU_t040
ko:K14225	bya:BANAU_t059
ko:K14225	bya:BANAU_t069
ko:K14230	bya:BANAU_t041
ko:K14230	bya:BANAU_t073
ko:K14230	bya:BANAU_t047
ko:K00130	bya:BANAU_3004
ko:K00088	bya:BANAU_0009
ko:K02424	bya:BANAU_0315
ko:K14232	bya:BANAU_t015
ko:K14232	bya:BANAU_t026
ko:K14232	bya:BANAU_t021
ko:K14232	bya:BANAU_t078
ko:K10041	bya:BANAU_2661
ko:K10009	bya:BANAU_0314
ko:K10039	bya:BANAU_2662
ko:K14221	bya:BANAU_t042
ko:K14221	bya:BANAU_t072
ko:K14221	bya:BANAU_t048
ko:K14221	bya:BANAU_t089
ko:K10716	bya:BANAU_3029
ko:K00571	bya:BANAU_2859
ko:K02003	bya:BANAU_0334
ko:K00928	bya:BANAU_0340
