ko:K02470	bapf:BUMPF009_CDS00576
ko:K02112	bapf:BUMPF009_CDS00578
ko:K02114	bapf:BUMPF009_CDS00577
ko:K02338	bapf:BUMPF009_CDS00575
ko:K02115	bapf:BUMPF009_CDS00579
ko:K02313	bapf:BUMPF009_CDS00574
ko:K03110	bapf:BUMPF009_CDS00562
ko:K02863	bapf:BUMPF009_CDS00549
ko:K01940	bapf:BUMPF009_CDS00540
ko:K02412	bapf:BUMPF009_CDS00517
ko:K03592	bapf:BUMPF009_CDS00505
ko:K01089	bapf:BUMPF009_CDS00493
ko:K03617	bapf:BUMPF009_CDS00483
ko:K00773	bapf:BUMPF009_CDS00463
ko:K02528	bapf:BUMPF009_CDS00454
ko:K02110	bapf:BUMPF009_CDS00583
ko:K02109	bapf:BUMPF009_CDS00582
ko:K03495	bapf:BUMPF009_CDS00585
ko:K02108	bapf:BUMPF009_CDS00584
ko:K02996	bapf:BUMPF009_CDS00207
ko:K02871	bapf:BUMPF009_CDS00206
ko:K14170	bapf:BUMPF009_CDS00205
ko:K03106	bapf:BUMPF009_CDS00204
ko:K02959	bapf:BUMPF009_CDS00203
ko:K02860	bapf:BUMPF009_CDS00202
ko:K00554	bapf:BUMPF009_CDS00201
ko:K02884	bapf:BUMPF009_CDS00200
ko:K03568	bapf:BUMPF009_CDS00199
ko:K03786	bapf:BUMPF009_CDS00198
ko:K03557	bapf:BUMPF009_CDS00197
ko:K06180	bapf:BUMPF009_CDS00196
ko:K05807	bapf:BUMPF009_CDS00195
ko:K08304	bapf:BUMPF009_CDS00142
ko:K00794	bapf:BUMPF009_CDS00141
ko:K00946	bapf:BUMPF009_CDS00140
ko:K03625	bapf:BUMPF009_CDS00137
ko:K01662	bapf:BUMPF009_CDS00136
ko:K00795	bapf:BUMPF009_CDS00135
ko:K11179	bapf:BUMPF009_CDS00133
ko:K02300	bapf:BUMPF009_CDS00131
ko:K02299	bapf:BUMPF009_CDS00130
ko:K02298	bapf:BUMPF009_CDS00129
ko:K02297	bapf:BUMPF009_CDS00128
ko:K05527	bapf:BUMPF009_CDS00127
ko:K03545	bapf:BUMPF009_CDS00126
ko:K01358	bapf:BUMPF009_CDS00125
ko:K03544	bapf:BUMPF009_CDS00124
ko:K01338	bapf:BUMPF009_CDS00123
ko:K03770	bapf:BUMPF009_CDS00122
ko:K06920	bapf:BUMPF009_CDS00121
ko:K02343	bapf:BUMPF009_CDS00118
ko:K09747	bapf:BUMPF009_CDS00116
ko:K04079	bapf:BUMPF009_CDS00115
ko:K00939	bapf:BUMPF009_CDS00114
ko:K01491	bapf:BUMPF009_CDS00113
ko:K01883	bapf:BUMPF009_CDS00112
ko:K09158	bapf:BUMPF009_CDS00111
ko:K03704	bapf:BUMPF009_CDS00110
ko:K00014	bapf:BUMPF009_CDS00109
ko:K07566	bapf:BUMPF009_CDS00108
ko:K03747	bapf:BUMPF009_CDS00107
ko:K01462	bapf:BUMPF009_CDS00106
ko:K00604	bapf:BUMPF009_CDS00105
ko:K02879	bapf:BUMPF009_CDS00104
ko:K03040	bapf:BUMPF009_CDS00103
ko:K02986	bapf:BUMPF009_CDS00102
ko:K02948	bapf:BUMPF009_CDS00101
ko:K02952	bapf:BUMPF009_CDS00100
ko:K02919	bapf:BUMPF009_CDS00596
ko:K03076	bapf:BUMPF009_CDS00099
ko:K02876	bapf:BUMPF009_CDS00098
ko:K02907	bapf:BUMPF009_CDS00097
ko:K02988	bapf:BUMPF009_CDS00096
ko:K02881	bapf:BUMPF009_CDS00095
ko:K02933	bapf:BUMPF009_CDS00094
ko:K02994	bapf:BUMPF009_CDS00093
ko:K02954	bapf:BUMPF009_CDS00092
ko:K02931	bapf:BUMPF009_CDS00091
ko:K02895	bapf:BUMPF009_CDS00090
ko:K02874	bapf:BUMPF009_CDS00089
ko:K02113	bapf:BUMPF009_CDS00581
ko:K02961	bapf:BUMPF009_CDS00088
ko:K02904	bapf:BUMPF009_CDS00087
ko:K02878	bapf:BUMPF009_CDS00086
ko:K02982	bapf:BUMPF009_CDS00085
ko:K02890	bapf:BUMPF009_CDS00084
ko:K02965	bapf:BUMPF009_CDS00083
ko:K02886	bapf:BUMPF009_CDS00082
ko:K02892	bapf:BUMPF009_CDS00081
ko:K02926	bapf:BUMPF009_CDS00080
ko:K02906	bapf:BUMPF009_CDS00079
ko:K02946	bapf:BUMPF009_CDS00078
ko:K02358	bapf:BUMPF009_CDS00077
ko:K02355	bapf:BUMPF009_CDS00076
ko:K02992	bapf:BUMPF009_CDS00075
ko:K02950	bapf:BUMPF009_CDS00074
ko:K07237	bapf:BUMPF009_CDS00073
ko:K07236	bapf:BUMPF009_CDS00072
ko:K07235	bapf:BUMPF009_CDS00071
ko:K03772	bapf:BUMPF009_CDS00070
ko:K06141	bapf:BUMPF009_CDS00068
ko:K01867	bapf:BUMPF009_CDS00067
ko:K01783	bapf:BUMPF009_CDS00066
ko:K01735	bapf:BUMPF009_CDS00065
ko:K00891	bapf:BUMPF009_CDS00064
ko:K03784	bapf:BUMPF009_CDS00063
ko:K01839	bapf:BUMPF009_CDS00062
ko:K02837	bapf:BUMPF009_CDS00061
ko:K01424	bapf:BUMPF009_CDS00060
ko:K07400	bapf:BUMPF009_CDS00059
