ko:K08151	ctjt:CTJTET1_04085
ko:K06889	ctjt:CTJTET1_00780
ko:K02035	ctjt:CTJTET1_00920
ko:K02049	ctjt:CTJTET1_00945
ko:K01409	ctjt:CTJTET1_01030
ko:K02030	ctjt:CTJTET1_02580
ko:K01082	ctjt:CTJTET1_04295
ko:K01909	ctjt:CTJTET1_04305
ko:K00652	ctjt:CTJTET1_04310
ko:K01408	ctjt:CTJTET1_04470
ko:K15582	ctjt:CTJTET1_01045
ko:K10823	ctjt:CTJTET1_01050
ko:K15583	ctjt:CTJTET1_01055
ko:K06889	ctjt:CTJTET1_01075
ko:K00059	ctjt:CTJTET1_01235
ko:K02342	ctjt:CTJTET1_02845
ko:K07258	ctjt:CTJTET1_02920
ko:K03227	ctjt:CTJTET1_02995
ko:K01262	ctjt:CTJTET1_03050
ko:K02454	ctjt:CTJTET1_03035
ko:K01885	ctjt:CTJTET1_02340
ko:K07098	ctjt:CTJTET1_02430
ko:K00567	ctjt:CTJTET1_02520
ko:K02033	ctjt:CTJTET1_02530
ko:K02035	ctjt:CTJTET1_02535
ko:K07491	ctjt:CTJTET1_04095
ko:K01507	ctjt:CTJTET1_04285
ko:K07052	ctjt:CTJTET1_01320
ko:K02342	ctjt:CTJTET1_01355
ko:K02806	ctjt:CTJTET1_01505
ko:K02806	ctjt:CTJTET1_01510
ko:K07315	ctjt:CTJTET1_03125
ko:K00241	ctjt:CTJTET1_03150
ko:K00241	ctjt:CTJTET1_03155
ko:K03386	ctjt:CTJTET1_03205
ko:K02428	ctjt:CTJTET1_03220
ko:K00033	ctjt:CTJTET1_00335
ko:K11707	ctjt:CTJTET1_00360
ko:K11710	ctjt:CTJTET1_00365
ko:K11708	ctjt:CTJTET1_00370
ko:K11709	ctjt:CTJTET1_00375
ko:K03856	ctjt:CTJTET1_01995
ko:K00784	ctjt:CTJTET1_01800
ko:K00970	ctjt:CTJTET1_03765
ko:K01596	ctjt:CTJTET1_03800
ko:K03177	ctjt:CTJTET1_00490
ko:K06179	ctjt:CTJTET1_00555
ko:K00939	ctjt:CTJTET1_00670
ko:K02028	ctjt:CTJTET1_00680
ko:K02035	ctjt:CTJTET1_00730
ko:K00970	ctjt:CTJTET1_02145
ko:K09815	ctjt:CTJTET1_02170
ko:K01719	ctjt:CTJTET1_02275
ko:K00380	ctjt:CTJTET1_02285
ko:K00972	ctjt:CTJTET1_03825
ko:K01834	ctjt:CTJTET1_03860
ko:K06910	ctjt:CTJTET1_03935
ko:K07117	ctjt:CTJTET1_03940
ko:K02433	ctjt:CTJTET1_00020
ko:K03471	ctjt:CTJTET1_00045
ko:K02124	ctjt:CTJTET1_01570
ko:K02123	ctjt:CTJTET1_01575
ko:K02120	ctjt:CTJTET1_01580
ko:K02118	ctjt:CTJTET1_01585
ko:K02117	ctjt:CTJTET1_01590
ko:K02121	ctjt:CTJTET1_01600
ko:K00616	ctjt:CTJTET1_01615
ko:K08483	ctjt:CTJTET1_01745
ko:K11189	ctjt:CTJTET1_01750
ko:K00813	ctjt:CTJTET1_03390
ko:K01934	ctjt:CTJTET1_03450
ko:K03559	ctjt:CTJTET1_03175
ko:K01679	ctjt:CTJTET1_04745
ko:K04763	ctjt:CTJTET1_04795
ko:K00700	ctjt:CTJTET1_04805
ko:K14233	ctjt:CTJTET1_t04888
ko:K14228	ctjt:CTJTET1_t04894
ko:K04084	ctjt:CTJTET1_03165
ko:K14227	ctjt:CTJTET1_t04870
ko:K14218	ctjt:CTJTET1_t04910
ko:K14230	ctjt:CTJTET1_t04874
ko:K14230	ctjt:CTJTET1_t04886
ko:K14235	ctjt:CTJTET1_t04882
ko:K14233	ctjt:CTJTET1_t04900
ko:K14231	ctjt:CTJTET1_t04892
ko:K14228	ctjt:CTJTET1_t04902
ko:K14221	ctjt:CTJTET1_t04878
ko:K14233	ctjt:CTJTET1_t04890
ko:K14228	ctjt:CTJTET1_t04904
ko:K14219	ctjt:CTJTET1_t04896
ko:K01972	ctjt:CTJTET1_00765
ko:K02913	ctjt:CTJTET1_00785
ko:K09808	ctjt:CTJTET1_00790
ko:K09810	ctjt:CTJTET1_00795
ko:K03720	ctjt:CTJTET1_00880
ko:K01696	ctjt:CTJTET1_00890
ko:K01695	ctjt:CTJTET1_00895
ko:K03611	ctjt:CTJTET1_00925
ko:K00979	ctjt:CTJTET1_00955
ko:K01937	ctjt:CTJTET1_00960
ko:K07447	ctjt:CTJTET1_00965
ko:K00036	ctjt:CTJTET1_00970
ko:K01057	ctjt:CTJTET1_00975
ko:K02343	ctjt:CTJTET1_00980
ko:K00943	ctjt:CTJTET1_00985
ko:K02469	ctjt:CTJTET1_00990
ko:K02470	ctjt:CTJTET1_00995
ko:K00773	ctjt:CTJTET1_01010
ko:K06213	ctjt:CTJTET1_01015
ko:K15580	ctjt:CTJTET1_01035
ko:K01772	ctjt:CTJTET1_02575
ko:K07099	ctjt:CTJTET1_02590
ko:K00975	ctjt:CTJTET1_02595
ko:K03628	ctjt:CTJTET1_02605
ko:K00859	ctjt:CTJTET1_02610
ko:K03301	ctjt:CTJTET1_02625
ko:K00995	ctjt:CTJTET1_02630
ko:K03495	ctjt:CTJTET1_02655
ko:K03800	ctjt:CTJTET1_02660
ko:K00940	ctjt:CTJTET1_02665
ko:K03550	ctjt:CTJTET1_02670
ko:K01159	ctjt:CTJTET1_02675
ko:K00134	ctjt:CTJTET1_02690
ko:K02879	ctjt:CTJTET1_02695
ko:K03040	ctjt:CTJTET1_02700
ko:K02948	ctjt:CTJTET1_02705
ko:K02952	ctjt:CTJTET1_02710
ko:K03076	ctjt:CTJTET1_02715
ko:K02876	ctjt:CTJTET1_02720
ko:K02988	ctjt:CTJTET1_02725
ko:K02881	ctjt:CTJTET1_02730
ko:K02933	ctjt:CTJTET1_02735
ko:K02994	ctjt:CTJTET1_02740
ko:K02931	ctjt:CTJTET1_02745
ko:K02895	ctjt:CTJTET1_02750
ko:K02874	ctjt:CTJTET1_02755
ko:K02961	ctjt:CTJTET1_02760
ko:K02904	ctjt:CTJTET1_02765
ko:K02878	ctjt:CTJTET1_02770
ko:K02982	ctjt:CTJTET1_02775
ko:K02890	ctjt:CTJTET1_02780
ko:K02965	ctjt:CTJTET1_02785
ko:K02886	ctjt:CTJTET1_02790
ko:K02892	ctjt:CTJTET1_02795
ko:K00263	ctjt:CTJTET1_04290
ko:K00655	ctjt:CTJTET1_04300
ko:K04066	ctjt:CTJTET1_04315
ko:K04567	ctjt:CTJTET1_04335
ko:K01883	ctjt:CTJTET1_04340
ko:K03536	ctjt:CTJTET1_04350
ko:K02919	ctjt:CTJTET1_04355
ko:K02954	ctjt:CTJTET1_04360
ko:K03703	ctjt:CTJTET1_04385
ko:K03555	ctjt:CTJTET1_04390
ko:K14164	ctjt:CTJTET1_04415
ko:K00995	ctjt:CTJTET1_04420
ko:K00703	ctjt:CTJTET1_04425
ko:K02897	ctjt:CTJTET1_04430
ko:K01056	ctjt:CTJTET1_04435
ko:K02990	ctjt:CTJTET1_04440
ko:K02963	ctjt:CTJTET1_04445
ko:K02939	ctjt:CTJTET1_04450
ko:K00919	ctjt:CTJTET1_04455
ko:K00630	ctjt:CTJTET1_04475
ko:K08301	ctjt:CTJTET1_04480
ko:K02911	ctjt:CTJTET1_04490
ko:K15581	ctjt:CTJTET1_01040
ko:K03319	ctjt:CTJTET1_01065
ko:K00850	ctjt:CTJTET1_01070
ko:K00895	ctjt:CTJTET1_01080
ko:K02527	ctjt:CTJTET1_01085
ko:K01869	ctjt:CTJTET1_01090
ko:K01845	ctjt:CTJTET1_01095
ko:K07735	ctjt:CTJTET1_01100
ko:K08999	ctjt:CTJTET1_01105
ko:K01807	ctjt:CTJTET1_01110
ko:K03787	ctjt:CTJTET1_01135
ko:K03179	ctjt:CTJTET1_01140
ko:K03186	ctjt:CTJTET1_01145
ko:K03308	ctjt:CTJTET1_01205
ko:K02078	ctjt:CTJTET1_01230
ko:K00645	ctjt:CTJTET1_01240
ko:K00648	ctjt:CTJTET1_01245
ko:K06187	ctjt:CTJTET1_01250
ko:K07277	ctjt:CTJTET1_01255
ko:K06142	ctjt:CTJTET1_01260
ko:K02536	ctjt:CTJTET1_01265
