ko:K07090	rae:G148_0288
ko:K03814	rae:G148_1596
ko:K09022	rae:G148_0746
ko:K08151	rae:G148_1197
ko:K00537	rae:G148_1276
ko:K01854	rae:G148_0116
ko:K01715	rae:G148_0130
ko:K04763	rae:G148_0132
ko:K00845	rae:G148_0255
ko:K02014	rae:G148_0257
ko:K02342	rae:G148_0285
ko:K02014	rae:G148_0007
ko:K02014	rae:G148_0029
ko:K11085	rae:G148_0077
ko:K00088	rae:G148_0078
ko:K01258	rae:G148_0226
ko:K01719	rae:G148_0238
ko:K04065	rae:G148_0814
ko:K07304	rae:G148_0561
ko:K02348	rae:G148_0562
ko:K01113	rae:G148_0600
ko:K01784	rae:G148_1240
ko:K11105	rae:G148_1268
ko:K04518	rae:G148_1270
ko:K00294	rae:G148_0923
ko:K01262	rae:G148_0924
ko:K00626	rae:G148_0925
ko:K06902	rae:G148_0926
ko:K00852	rae:G148_0929
ko:K01297	rae:G148_0334
ko:K07025	rae:G148_0337
ko:K02014	rae:G148_1023
ko:K03286	rae:G148_1043
ko:K03286	rae:G148_1044
ko:K02342	rae:G148_1070
ko:K07386	rae:G148_1072
ko:K01077	rae:G148_1074
ko:K01270	rae:G148_1087
ko:K07027	rae:G148_1093
ko:K01507	rae:G148_1104
ko:K04516	rae:G148_1106
ko:K15460	rae:G148_0608
ko:K00819	rae:G148_0616
ko:K02067	rae:G148_0624
ko:K00135	rae:G148_0640
ko:K01489	rae:G148_1283
ko:K01259	rae:G148_1287
ko:K05794	rae:G148_1289
ko:K15727	rae:G148_1333
ko:K00721	rae:G148_0379
ko:K01719	rae:G148_0397
ko:K07054	rae:G148_0401
ko:K01823	rae:G148_1467
ko:K00058	rae:G148_1479
ko:K03783	rae:G148_0959
ko:K03469	rae:G148_0961
ko:K08234	rae:G148_0974
ko:K01597	rae:G148_0975
ko:K03606	rae:G148_0983
ko:K01934	rae:G148_0662
ko:K05337	rae:G148_0663
ko:K02014	rae:G148_0698
ko:K04652	rae:G148_0707
ko:K01372	rae:G148_1341
ko:K03325	rae:G148_1354
ko:K00059	rae:G148_0442
ko:K13628	rae:G148_0477
ko:K03748	rae:G148_0480
ko:K03442	rae:G148_1481
ko:K00674	rae:G148_1488
ko:K03386	rae:G148_1521
ko:K02238	rae:G148_0837
ko:K00241	rae:G148_0838
ko:K01278	rae:G148_0889
ko:K00639	rae:G148_1121
ko:K00639	rae:G148_1151
ko:K02619	rae:G148_0494
ko:K07305	rae:G148_0532
ko:K00939	rae:G148_1553
ko:K07052	rae:G148_1556
ko:K02428	rae:G148_1557
ko:K00784	rae:G148_1558
ko:K00616	rae:G148_1573
ko:K07098	rae:G148_1595
ko:K01885	rae:G148_0776
ko:K01322	rae:G148_0782
ko:K07273	rae:G148_0813
ko:K03593	rae:G148_0817
ko:K02371	rae:G148_0827
ko:K09952	rae:G148_0828
ko:K01424	rae:G148_1171
ko:K03748	rae:G148_1182
ko:K00869	rae:G148_1183
ko:K00567	rae:G148_1190
ko:K01081	rae:G148_1192
ko:K01681	rae:G148_1786
ko:K03500	rae:G148_1788
ko:K00833	rae:G148_1796
ko:K01935	rae:G148_1797
ko:K00297	rae:G148_1800
ko:K00318	rae:G148_1804
ko:K01735	rae:G148_1807
ko:K03924	rae:G148_1816
ko:K03218	rae:G148_1818
ko:K16091	rae:G148_1828
ko:K03811	rae:G148_1839
ko:K00161	rae:G148_1844
ko:K00627	rae:G148_1845
ko:K03305	rae:G148_1848
ko:K01153	rae:G148_1854
ko:K01154	rae:G148_1855
ko:K03427	rae:G148_1856
ko:K06167	rae:G148_1866
ko:K01845	rae:G148_1868
ko:K02558	rae:G148_1873
ko:K03648	rae:G148_1875
ko:K00826	rae:G148_1877
ko:K00940	rae:G148_1878
ko:K02114	rae:G148_1879
ko:K02112	rae:G148_1880
ko:K11753	rae:G148_1881
ko:K08987	rae:G148_1883
ko:K06861	rae:G148_1889
ko:K02361	rae:G148_1891
ko:K01752	rae:G148_1896
ko:K03734	rae:G148_1903
ko:K07322	rae:G148_1906
ko:K00376	rae:G148_1913
ko:K07218	rae:G148_1916
ko:K08276	rae:G148_1919
ko:K03088	rae:G148_1922
ko:K06911	rae:G148_1923
ko:K11752	rae:G148_1926
ko:K00014	rae:G148_1928
ko:K01462	rae:G148_1931
ko:K07447	rae:G148_1932
ko:K03723	rae:G148_1933
ko:K07636	rae:G148_1935
ko:K00820	rae:G148_1944
ko:K00703	rae:G148_1946
ko:K01918	rae:G148_1947
ko:K01889	rae:G148_1951
ko:K06173	rae:G148_1954
ko:K07095	rae:G148_1955
ko:K01738	rae:G148_1958
ko:K00640	rae:G148_1959
ko:K07566	rae:G148_1960
ko:K03549	rae:G148_1971
ko:K03305	rae:G148_1979
ko:K01972	rae:G148_1982
ko:K03969	rae:G148_1985
ko:K00057	rae:G148_2003
ko:K02687	rae:G148_2004
ko:K09808	rae:G148_2005
ko:K00954	rae:G148_2009
ko:K01921	rae:G148_2010
ko:K00451	rae:G148_0003
ko:K01893	rae:G148_0005
ko:K03092	rae:G148_0006
ko:K02437	rae:G148_0020
ko:K01633	rae:G148_0021
ko:K03517	rae:G148_0022
ko:K00942	rae:G148_0023
ko:K15866	rae:G148_0025
ko:K00761	rae:G148_0026
ko:K15738	rae:G148_0028
ko:K03046	rae:G148_0031
ko:K03043	rae:G148_0032
ko:K02935	rae:G148_0038
ko:K02864	rae:G148_0039
ko:K02863	rae:G148_0040
ko:K02867	rae:G148_0041
ko:K02601	rae:G148_0042
ko:K03073	rae:G148_0043
ko:K02358	rae:G148_0044
ko:K05808	rae:G148_0046
ko:K03733	rae:G148_0047
ko:K02970	rae:G148_0048
ko:K06180	rae:G148_0051
ko:K00606	rae:G148_0053
ko:K15862	rae:G148_0057
ko:K00406	rae:G148_0059
ko:K09792	rae:G148_0062
ko:K00012	rae:G148_0063
ko:K07501	rae:G148_0065
ko:K02871	rae:G148_0067
ko:K02996	rae:G148_0068
ko:K02967	rae:G148_0069
ko:K01083	rae:G148_0071
ko:K03628	rae:G148_0075
ko:K00029	rae:G148_0082
ko:K00655	rae:G148_0089
ko:K02429	rae:G148_0090
ko:K03116	rae:G148_0100
ko:K00973	rae:G148_0104
ko:K01495	rae:G148_0117
ko:K01883	rae:G148_0118
ko:K03210	rae:G148_0122
ko:K03625	rae:G148_0124
ko:K04564	rae:G148_0125
ko:K00789	rae:G148_0126
ko:K04761	rae:G148_0127
ko:K03781	rae:G148_0128
ko:K02217	rae:G148_0134
ko:K03551	rae:G148_0135
ko:K00859	rae:G148_0137
ko:K03703	rae:G148_0139
ko:K03820	rae:G148_0141
ko:K01772	rae:G148_0147
ko:K02946	rae:G148_0161
ko:K02355	rae:G148_0162
ko:K02992	rae:G148_0163
ko:K02950	rae:G148_0164
ko:K04047	rae:G148_0171
ko:K00763	rae:G148_0172
ko:K09760	rae:G148_0173
ko:K03437	rae:G148_0174
ko:K03782	rae:G148_0176
ko:K06940	rae:G148_0177
ko:K00064	rae:G148_0129
ko:K05515	rae:G148_0250
ko:K03570	rae:G148_0252
ko:K03569	rae:G148_0253
ko:K03977	rae:G148_0254
ko:K03070	rae:G148_0259
ko:K05807	rae:G148_0262
ko:K13038	rae:G148_0264
ko:K06966	rae:G148_0266
ko:K03424	rae:G148_000269
ko:K03536	rae:G148_0271
ko:K06168	rae:G148_0275
ko:K07107	rae:G148_0278
ko:K00946	rae:G148_0279
ko:K01012	rae:G148_0281
ko:K03631	rae:G148_0284
ko:K06915	rae:G148_0286
ko:K11717	rae:G148_0223
ko:K01880	rae:G148_0224
ko:K01640	rae:G148_0225
ko:K01676	rae:G148_0228
ko:K02492	rae:G148_0236
ko:K01749	rae:G148_0237
ko:K01599	rae:G148_0239
