ko:K19743	zmc:A265_01223
ko:K07448	zmc:A265_01180
ko:K03297	zmc:A265_01122
ko:K19271	zmc:A265_00188
ko:K11741	zmc:A265_00589
ko:K14222	zmc:A265_01104
ko:K21681	zmc:A265_00908
ko:K19746	zmc:A265_01689
ko:K21678	zmc:A265_00436
ko:K14223	zmc:A265_00367
ko:K14223	zmc:A265_00369
ko:K14223	zmc:A265_00860
ko:K14235	zmc:A265_00567
ko:K14229	zmc:A265_01514
ko:K14229	zmc:A265_01595
ko:K14221	zmc:A265_00818
ko:K14224	zmc:A265_00104
ko:K14224	zmc:A265_01051
ko:K14228	zmc:A265_00208
ko:K14228	zmc:A265_00215
ko:K14228	zmc:A265_00365
ko:K14228	zmc:A265_00701
ko:K15035	zmc:A265_10099
ko:K14234	zmc:A265_01748
ko:K14225	zmc:A265_00146
ko:K14225	zmc:A265_00338
ko:K14225	zmc:A265_01283
ko:K14230	zmc:A265_00126
ko:K14230	zmc:A265_00223
ko:K14230	zmc:A265_01311
ko:K14230	zmc:A265_01579
ko:K14230	zmc:A265_01322
ko:K14231	zmc:A265_00306
ko:K14237	zmc:A265_00887
ko:K14237	zmc:A265_01752
ko:K01977	zmc:A265_01306
ko:K01977	zmc:A265_01317
ko:K01977	zmc:A265_01574
ko:K14218	zmc:A265_01308
ko:K14218	zmc:A265_01576
ko:K14218	zmc:A265_01319
ko:K14218	zmc:A265_01381
ko:K14218	zmc:A265_01396
ko:K01980	zmc:A265_01309
ko:K14232	zmc:A265_00935
ko:K14232	zmc:A265_01683
ko:K14227	zmc:A265_01307
ko:K14227	zmc:A265_01318
ko:K14227	zmc:A265_01575
ko:K14220	zmc:A265_00013
ko:K14226	zmc:A265_00124
ko:K14219	zmc:A265_00404
ko:K14219	zmc:A265_00590
ko:K14233	zmc:A265_00728
ko:K14233	zmc:A265_00784
ko:K14233	zmc:A265_01658
ko:K14236	zmc:A265_01008
ko:K14234	zmc:A265_00284
ko:K14234	zmc:A265_00414
ko:K14237	zmc:A265_00592
ko:K14219	zmc:A265_00281
ko:K14219	zmc:A265_01290
ko:K14233	zmc:A265_00547
ko:K01985	zmc:A265_01310
ko:K01985	zmc:A265_01321
ko:K01985	zmc:A265_01578
ko:K18707	zmc:A265_00253
ko:K02313	zmc:A265_00001
ko:K06158	zmc:A265_00002
ko:K06890	zmc:A265_00005
ko:K01061	zmc:A265_00006
ko:K01265	zmc:A265_00008
ko:K03686	zmc:A265_00624
ko:K04043	zmc:A265_00625
ko:K01295	zmc:A265_00627
ko:K00673	zmc:A265_00628
ko:K07101	zmc:A265_00629
ko:K01488	zmc:A265_00630
ko:K02422	zmc:A265_00633
ko:K02407	zmc:A265_00634
ko:K02401	zmc:A265_00635
ko:K02421	zmc:A265_00636
ko:K02420	zmc:A265_00637
ko:K02419	zmc:A265_00638
ko:K02418	zmc:A265_00639
ko:K02417	zmc:A265_00640
ko:K02416	zmc:A265_00641
ko:K02415	zmc:A265_00642
ko:K02412	zmc:A265_00645
ko:K02411	zmc:A265_00646
ko:K02410	zmc:A265_00647
ko:K02409	zmc:A265_00648
ko:K02408	zmc:A265_00649
ko:K10943	zmc:A265_00650
ko:K02406	zmc:A265_00651
ko:K02405	zmc:A265_00654
ko:K04562	zmc:A265_00655
ko:K02400	zmc:A265_00656
ko:K02386	zmc:A265_00659
ko:K02556	zmc:A265_00661
ko:K02387	zmc:A265_00662
ko:K02388	zmc:A265_00663
ko:K02389	zmc:A265_00664
ko:K02390	zmc:A265_00665
ko:K02391	zmc:A265_00666
ko:K02392	zmc:A265_00667
ko:K02393	zmc:A265_00668
ko:K02394	zmc:A265_00669
ko:K02395	zmc:A265_00670
ko:K02396	zmc:A265_00671
ko:K02397	zmc:A265_00672
ko:K02556	zmc:A265_00673
ko:K02557	zmc:A265_00674
ko:K13587	zmc:A265_00675
ko:K01962	zmc:A265_00676
ko:K06966	zmc:A265_01482
ko:K04518	zmc:A265_01483
ko:K03575	zmc:A265_01484
ko:K06221	zmc:A265_01487
ko:K06134	zmc:A265_01492
ko:K03797	zmc:A265_01494
ko:K00783	zmc:A265_01496
ko:K09710	zmc:A265_01497
ko:K00969	zmc:A265_01498
ko:K00147	zmc:A265_01499
ko:K03798	zmc:A265_01501
ko:K04075	zmc:A265_01502
ko:K00568	zmc:A265_01506
ko:K00928	zmc:A265_01507
ko:K02371	zmc:A265_01508
ko:K08484	zmc:A265_01509
ko:K01053	zmc:A265_01511
ko:K00950	zmc:A265_01513
ko:K03723	zmc:A265_01515
ko:K03655	zmc:A265_01516
ko:K01866	zmc:A265_01517
ko:K09001	zmc:A265_01518
ko:K01867	zmc:A265_01520
ko:K03980	zmc:A265_01521
ko:K03071	zmc:A265_01522
ko:K08304	zmc:A265_01525
ko:K01439	zmc:A265_01528
ko:K02014	zmc:A265_01529
ko:K01620	zmc:A265_00009
ko:K01256	zmc:A265_00011
ko:K07054	zmc:A265_00014
ko:K06911	zmc:A265_00017
ko:K03809	zmc:A265_00019
ko:K00858	zmc:A265_00022
ko:K03437	zmc:A265_00023
ko:K11189	zmc:A265_00024
ko:K02793	zmc:A265_00025
ko:K06958	zmc:A265_00026
ko:K14980	zmc:A265_00028
ko:K14981	zmc:A265_00029
ko:K00088	zmc:A265_00030
ko:K03500	zmc:A265_00031
ko:K02528	zmc:A265_00037
ko:K00097	zmc:A265_00038
ko:K03771	zmc:A265_00039
ko:K04744	zmc:A265_00040
ko:K07025	zmc:A265_00836
ko:K13628	zmc:A265_00837
ko:K11717	zmc:A265_00839
ko:K09015	zmc:A265_00840
ko:K09013	zmc:A265_00841
ko:K09014	zmc:A265_00842
ko:K00817	zmc:A265_00844
ko:K00220	zmc:A265_00845
ko:K00655	zmc:A265_00846
ko:K09811	zmc:A265_00848
ko:K09812	zmc:A265_00849
ko:K02221	zmc:A265_00851
ko:K05595	zmc:A265_00852
ko:K02622	zmc:A265_00853
ko:K04083	zmc:A265_00854
ko:K13583	zmc:A265_00857
ko:K01992	zmc:A265_00858
ko:K03694	zmc:A265_00859
ko:K01524	zmc:A265_00861
ko:K02427	zmc:A265_00862
ko:K01247	zmc:A265_00884
ko:K00692	zmc:A265_00888
ko:K00692	zmc:A265_00889
ko:K01869	zmc:A265_01695
ko:K03643	zmc:A265_01696
ko:K02340	zmc:A265_01697
ko:K03630	zmc:A265_01703
ko:K00788	zmc:A265_01704
ko:K03695	zmc:A265_01705
ko:K01589	zmc:A265_01708
ko:K01588	zmc:A265_01709
ko:K03179	zmc:A265_01710
ko:K11927	zmc:A265_01711
ko:K03789	zmc:A265_01714
ko:K03711	zmc:A265_01716
ko:K03594	zmc:A265_01717
ko:K02192	zmc:A265_10008
ko:K01278	zmc:A265_01719
ko:K00133	zmc:A265_01720
ko:K03088	zmc:A265_01723
ko:K01142	zmc:A265_01726
ko:K11720	zmc:A265_01732
ko:K07091	zmc:A265_01733
ko:K00681	zmc:A265_01738
ko:K13584	zmc:A265_01739
ko:K00796	zmc:A265_00311
ko:K03470	zmc:A265_00313
ko:K00941	zmc:A265_00314
ko:K03431	zmc:A265_00315
ko:K03305	zmc:A265_00316
ko:K00549	zmc:A265_00317
ko:K07566	zmc:A265_00318
ko:K07304	zmc:A265_00319
ko:K01625	zmc:A265_00320
ko:K04080	zmc:A265_00324
ko:K06204	zmc:A265_00327
ko:K01875	zmc:A265_00328
ko:K03787	zmc:A265_00329
ko:K02034	zmc:A265_00332
ko:K02031	zmc:A265_00333
ko:K02032	zmc:A265_00333
ko:K02338	zmc:A265_00334
ko:K16092	zmc:A265_00335
ko:K02016	zmc:A265_00336
ko:K00720	zmc:A265_00342
ko:K06901	zmc:A265_00345
ko:K03317	zmc:A265_00347
ko:K03446	zmc:A265_00348
ko:K03543	zmc:A265_00349
ko:K01443	zmc:A265_00352
ko:K03814	zmc:A265_00354
ko:K00413	zmc:A265_00355
ko:K00412	zmc:A265_00356
ko:K00411	zmc:A265_00357
ko:K03216	zmc:A265_00358
ko:K00228	zmc:A265_00359
ko:K00865	zmc:A265_01158
ko:K00820	zmc:A265_01160
ko:K07090	zmc:A265_01161
ko:K03449	zmc:A265_01164
ko:K06287	zmc:A265_01169
ko:K00014	zmc:A265_01170
ko:K00859	zmc:A265_01171
ko:K02342	zmc:A265_01172
ko:K02806	zmc:A265_01174
ko:K09160	zmc:A265_01177
ko:K00602	zmc:A265_01181
ko:K07126	zmc:A265_01182
ko:K00782	zmc:A265_01187
ko:K01783	zmc:A265_01189
ko:K03500	zmc:A265_01190
ko:K03687	zmc:A265_01191
ko:K03705	zmc:A265_01192
ko:K00989	zmc:A265_01193
ko:K02428	zmc:A265_01194
ko:K07043	zmc:A265_01197
ko:K00380	zmc:A265_01198
ko:K00381	zmc:A265_01199
ko:K00390	zmc:A265_01200
ko:K02302	zmc:A265_01201
ko:K00957	zmc:A265_01202
ko:K00956	zmc:A265_01203
ko:K00860	zmc:A265_01204
ko:K00817	zmc:A265_01205
ko:K02014	zmc:A265_01206
ko:K01599	zmc:A265_01207
ko:K08973	zmc:A265_01208
ko:K03628	zmc:A265_01209
ko:K01255	zmc:A265_00041
ko:K02339	zmc:A265_00042
ko:K01676	zmc:A265_00043
ko:K06442	zmc:A265_00044
ko:K00286	zmc:A265_00047
ko:K03801	zmc:A265_00048
ko:K07106	zmc:A265_00052
ko:K02529	zmc:A265_00060
ko:K02078	zmc:A265_00061
ko:K09458	zmc:A265_00062
ko:K07082	zmc:A265_00063
ko:K01754	zmc:A265_00065
ko:K06447	zmc:A265_00067
ko:K02303	zmc:A265_00068
ko:K00652	zmc:A265_00069
ko:K01951	zmc:A265_00072
