ko:K18929	hez:U064_0478
ko:K19302	hez:U064_1160
ko:K18928	hez:U064_0479
ko:K18682	hez:U064_1069
ko:K03496	hez:U064_0384
ko:K03196	hez:U064_0251
ko:K01155	hez:U064_0436
ko:K07316	hez:U064_0074
ko:K11782	hez:U064_1087
ko:K07316	hez:U064_1542
ko:K02847	hez:U064_1248
ko:K01155	hez:U064_0603
ko:K00971	hez:U064_0043
ko:K02528	hez:U064_0243
ko:K12574	hez:U064_0244
ko:K06041	hez:U064_0245
ko:K06941	hez:U064_0246
ko:K01870	hez:U064_0250
ko:K02412	hez:U064_0252
ko:K02420	hez:U064_0253
ko:K00075	hez:U064_0254
ko:K03797	hez:U064_0259
ko:K00655	hez:U064_0261
ko:K03648	hez:U064_0262
ko:K00134	hez:U064_0263
ko:K00927	hez:U064_0264
ko:K03284	hez:U064_0265
ko:K03832	hez:U064_0269
ko:K03559	hez:U064_0270
ko:K03561	hez:U064_0271
ko:K07722	hez:U064_0272
ko:K00969	hez:U064_0273
ko:K00566	hez:U064_0275
ko:K03686	hez:U064_0277
ko:K07787	hez:U064_0280
ko:K01679	hez:U064_0284
ko:K03470	hez:U064_0287
ko:K07133	hez:U064_0289
ko:K02946	hez:U064_0290
ko:K02906	hez:U064_0291
ko:K02926	hez:U064_0292
ko:K02892	hez:U064_0293
ko:K02886	hez:U064_0294
ko:K02965	hez:U064_0295
ko:K02890	hez:U064_0296
ko:K02982	hez:U064_0297
ko:K03634	hez:U064_1094
ko:K03070	hez:U064_1095
ko:K02004	hez:U064_1096
ko:K01154	hez:U064_1098
ko:K01534	hez:U064_1099
ko:K07391	hez:U064_1100
ko:K01462	hez:U064_1101
ko:K01358	hez:U064_1102
ko:K03545	hez:U064_1103
ko:K15846	hez:U064_1105
ko:K03637	hez:U064_1106
ko:K03831	hez:U064_1107
ko:K03635	hez:U064_1108
ko:K03636	hez:U064_1109
ko:K01497	hez:U064_1110
ko:K14652	hez:U064_1112
ko:K07270	hez:U064_1113
ko:K06200	hez:U064_0183
ko:K01810	hez:U064_0186
ko:K00384	hez:U064_0188
ko:K03839	hez:U064_0191
ko:K07042	hez:U064_0192
ko:K04095	hez:U064_0193
ko:K00286	hez:U064_0194
ko:K02563	hez:U064_0197
ko:K01873	hez:U064_0199
ko:K03106	hez:U064_0200
ko:K02959	hez:U064_0201
ko:K06960	hez:U064_0202
ko:K02860	hez:U064_0203
ko:K00554	hez:U064_0204
ko:K02884	hez:U064_0205
ko:K03168	hez:U064_0227
ko:K07491	hez:U064_0233
ko:K04773	hez:U064_0238
ko:K01433	hez:U064_0239
ko:K00769	hez:U064_1043
ko:K01095	hez:U064_1045
ko:K01921	hez:U064_1046
ko:K01929	hez:U064_1048
ko:K00948	hez:U064_1050
ko:K05837	hez:U064_1052
ko:K06180	hez:U064_1054
ko:K03439	hez:U064_1056
ko:K09812	hez:U064_1057
ko:K09811	hez:U064_1058
ko:K06603	hez:U064_1060
ko:K02407	hez:U064_1061
ko:K02422	hez:U064_1062
ko:K12251	hez:U064_1066
ko:K07084	hez:U064_1067
ko:K03110	hez:U064_1072
ko:K06940	hez:U064_1073
ko:K03639	hez:U064_1077
ko:K03752	hez:U064_1078
ko:K02401	hez:U064_1079
ko:K01448	hez:U064_1081
ko:K00459	hez:U064_1082
ko:K01866	hez:U064_1083
ko:K03060	hez:U064_1085
ko:K09903	hez:U064_1086
ko:K01682	hez:U064_1088
ko:K07043	hez:U064_1114
ko:K16091	hez:U064_1115
ko:K00997	hez:U064_1116
ko:K02415	hez:U064_1117
ko:K02556	hez:U064_1123
ko:K02557	hez:U064_1124
ko:K05845	hez:U064_1126
ko:K05846	hez:U064_1126
ko:K05847	hez:U064_1127
ko:K03703	hez:U064_1129
ko:K00003	hez:U064_1130
ko:K07460	hez:U064_1131
ko:K03671	hez:U064_1132
ko:K00384	hez:U064_1133
ko:K07270	hez:U064_1134
ko:K02108	hez:U064_1136
ko:K00088	hez:U064_1137
ko:K02433	hez:U064_1138
ko:K00859	hez:U064_1139
ko:K00797	hez:U064_1140
ko:K03977	hez:U064_1142
ko:K03530	hez:U064_1143
ko:K09860	hez:U064_1145
ko:K02878	hez:U064_0298
ko:K15894	hez:U064_1148
ko:K07318	hez:U064_0139
