ko:K18137	abaj:BJAB0868_02239
ko:K03602	abaj:BJAB0868_01320
ko:K18923	abaj:BJAB0868_00986
ko:K00529	abaj:BJAB0868_01060
ko:K20319	abaj:BJAB0868_02604
ko:K18138	abaj:BJAB0868_02954
ko:K03297	abaj:BJAB0868_02536
ko:K03297	abaj:BJAB0868_03139
ko:K18145	abaj:BJAB0868_01964
ko:K18146	abaj:BJAB0868_01963
ko:K21029	abaj:BJAB0868_02384
ko:K06979	abaj:BJAB0868_p0109
ko:K19302	abaj:BJAB0868_00033
ko:K16238	abaj:BJAB0868_02341
ko:K07278	abaj:BJAB0868_02371
ko:K11741	abaj:BJAB0868_00712
ko:K18147	abaj:BJAB0868_01962
ko:K08151	abaj:BJAB0868_00281
ko:K03327	abaj:BJAB0868_03665
ko:K00131	abaj:BJAB0868_00547
ko:K01990	abaj:BJAB0868_01823
ko:K16235	abaj:BJAB0868_03454
ko:K22617	abaj:BJAB0868_03236
ko:K03417	abaj:BJAB0868_00120
ko:K03559	abaj:BJAB0868_01724
ko:K03559	abaj:BJAB0868_01752
ko:K03559	abaj:BJAB0868_01753
ko:K08316	abaj:BJAB0868_01134
ko:K03559	abaj:BJAB0868_00513
ko:K00265	abaj:BJAB0868_03433
ko:K05835	abaj:BJAB0868_00886
ko:K02226	abaj:BJAB0868_01811
ko:K14229	abaj:BJAB0868_tRNA17
ko:K14229	abaj:BJAB0868_tRNA18
ko:K14159	abaj:BJAB0868_01222
ko:K01457	abaj:BJAB0868_01403
ko:K09483	abaj:BJAB0868_02131
ko:K03298	abaj:BJAB0868_00324
ko:K14742	abaj:BJAB0868_00701
ko:K19611	abaj:BJAB0868_01093
ko:K11209	abaj:BJAB0868_00648
ko:K00951	abaj:BJAB0868_00634
ko:K17713	abaj:BJAB0868_00563
ko:K02558	abaj:BJAB0868_00035
ko:K09922	abaj:BJAB0868_00036
ko:K01588	abaj:BJAB0868_00038
ko:K01589	abaj:BJAB0868_00039
ko:K04043	abaj:BJAB0868_00044
ko:K03687	abaj:BJAB0868_00045
ko:K03774	abaj:BJAB0868_00056
ko:K03101	abaj:BJAB0868_00057
ko:K01870	abaj:BJAB0868_00058
ko:K11753	abaj:BJAB0868_00059
ko:K15554	abaj:BJAB0868_00064
ko:K15553	abaj:BJAB0868_00066
ko:K15553	abaj:BJAB0868_00067
ko:K14682	abaj:BJAB0868_00068
ko:K03673	abaj:BJAB0868_00074
ko:K00833	abaj:BJAB0868_00823
ko:K02169	abaj:BJAB0868_00825
ko:K01935	abaj:BJAB0868_00826
ko:K06178	abaj:BJAB0868_00827
ko:K06024	abaj:BJAB0868_00828
ko:K05896	abaj:BJAB0868_00829
ko:K09906	abaj:BJAB0868_00831
ko:K07040	abaj:BJAB0868_00832
ko:K02911	abaj:BJAB0868_00833
ko:K00645	abaj:BJAB0868_00834
ko:K02078	abaj:BJAB0868_00836
ko:K00941	abaj:BJAB0868_00838
ko:K01091	abaj:BJAB0868_00839
ko:K01579	abaj:BJAB0868_00843
ko:K01056	abaj:BJAB0868_00844
ko:K02897	abaj:BJAB0868_00845
