ko:K12132	btg:BTB_c39880
ko:K08153	btg:BTB_c09230
ko:K18924	btg:BTB_c49530
ko:K08681	btg:BTB_c00160
ko:K02470	btg:BTB_c00050
ko:K00088	btg:BTB_c00130
ko:K02338	btg:BTB_c00020
ko:K03629	btg:BTB_c00040
ko:K02313	btg:BTB_c00010
ko:K02469	btg:BTB_c00060
ko:K07258	btg:BTB_c00140
ko:K06215	btg:BTB_c00150
ko:K01875	btg:BTB_c00170
ko:K15519	btg:BTB_c00200
ko:K15518	btg:BTB_c00210
ko:K02343	btg:BTB_c00240
ko:K09747	btg:BTB_c00250
ko:K06187	btg:BTB_c00260
ko:K06317	btg:BTB_c00280
ko:K00943	btg:BTB_c00360
ko:K02341	btg:BTB_c00370
ko:K07461	btg:BTB_c00410
ko:K07056	btg:BTB_c00420
ko:K06284	btg:BTB_c00430
ko:K01874	btg:BTB_c00440
ko:K03424	btg:BTB_c00450
ko:K05985	btg:BTB_c00460
ko:K02528	btg:BTB_c00470
ko:K06436	btg:BTB_c00480
ko:K06423	btg:BTB_c00500
ko:K00919	btg:BTB_c00510
ko:K09685	btg:BTB_c00520
ko:K06412	btg:BTB_c00540
ko:K04042	btg:BTB_c00550
ko:K00948	btg:BTB_c00560
ko:K01056	btg:BTB_c00570
ko:K03723	btg:BTB_c00590
ko:K04769	btg:BTB_c00600
ko:K02499	btg:BTB_c00620
ko:K07571	btg:BTB_c00670
ko:K06382	btg:BTB_c00700
ko:K04075	btg:BTB_c00710
ko:K00760	btg:BTB_c00720
ko:K03798	btg:BTB_c00730
ko:K03525	btg:BTB_c00740
ko:K04083	btg:BTB_c00750
ko:K01738	btg:BTB_c00760
ko:K01665	btg:BTB_c00770
ko:K02619	btg:BTB_c00790
ko:K00796	btg:BTB_c00800
ko:K01633	btg:BTB_c00810
ko:K00950	btg:BTB_c00820
ko:K04567	btg:BTB_c00850
ko:K03708	btg:BTB_c01010
ko:K03696	btg:BTB_c01040
ko:K04485	btg:BTB_c01050
ko:K07067	btg:BTB_c01060
ko:K00991	btg:BTB_c01080
ko:K01770	btg:BTB_c01090
ko:K09698	btg:BTB_c01100
ko:K00640	btg:BTB_c01110
ko:K01883	btg:BTB_c01120
ko:K11145	btg:BTB_c01130
ko:K03218	btg:BTB_c01140
ko:K06962	btg:BTB_c01150
ko:K03091	btg:BTB_c01160
ko:K06180	btg:BTB_c12530
ko:K00973	btg:BTB_c12650
ko:K01790	btg:BTB_c12660
ko:K00067	btg:BTB_c12680
ko:K00208	btg:BTB_c12690
ko:K03657	btg:BTB_c12750
ko:K02996	btg:BTB_c01660
ko:K01448	btg:BTB_c01680
ko:K03593	btg:BTB_c01690
ko:K06294	btg:BTB_c01700
ko:K06349	btg:BTB_c01710
ko:K00865	btg:BTB_c01860
ko:K01476	btg:BTB_c01870
ko:K03431	btg:BTB_c01900
ko:K00820	btg:BTB_c01910
ko:K00059	btg:BTB_c01970
ko:K02072	btg:BTB_c01980
ko:K02071	btg:BTB_c01990
ko:K02073	btg:BTB_c02000
ko:K07552	btg:BTB_c02060
ko:K01784	btg:BTB_c03260
ko:K00265	btg:BTB_c05250
ko:K01845	btg:BTB_c05260
ko:K08713	btg:BTB_c05300
ko:K03564	btg:BTB_c05310
ko:K09825	btg:BTB_c05320
ko:K01421	btg:BTB_c11460
ko:K03800	btg:BTB_c11540
ko:K02048	btg:BTB_c11580
ko:K02046	btg:BTB_c11590
ko:K02047	btg:BTB_c11600
ko:K02045	btg:BTB_c11610
ko:K11032	btg:BTB_c11620
ko:K07098	btg:BTB_c11630
ko:K16511	btg:BTB_c12430
ko:K06131	btg:BTB_c12440
